elapsed, window, total, successful, failed
171.005227, 0.999358, 89772, 89772, 0
172.002254, 0.997027, 85854, 85854, 0
173.005948, 1.003694, 71901, 71901, 0
174.002775, 0.996827, 61184, 61184, 0
175.003336, 1.000561, 79303, 79303, 0
176.003302, 0.999966, 68563, 68563, 0
177.005584, 1.002282, 82106, 82106, 0
178.00454, 0.998956, 90342, 90342, 0
179.002033, 0.997493, 99309, 99309, 0
180.001646, 0.999613, 91279, 91279, 0
181.005419, 1.003773, 93815, 93815, 0
181.861607, 0.856188, 26500, 26500, 0
