elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
47.001381, 0.998597, 38396, 2, 24.9, 11, 64, 109, 2564, 10453, 0
48.004043, 1.002662, 44043, 2, 24.0, 11, 60, 107, 2638, 9942, 0
49.003621, 0.999578, 45921, 0, 27.2, 11, 68, 106, 2607, 20412, 0
50.002518, 0.998897, 47687, 0, 22.9, 11, 58, 100, 2450, 6996, 0
51.003046, 1.000528, 52577, 5, 21.1, 11, 48, 96, 2434, 23199, 0
52.002782, 0.999736, 35335, 5, 21.6, 11, 49, 90, 2491, 23199, 0
53.002394, 0.999612, 43905, 5, 27.2, 10, 47, 91, 2611, 416015, 0
54.002343, 0.999949, 57067, 5, 20.2, 10, 50, 98, 2364, 5320, 0
55.002893, 1.00055, 46245, 5, 24.4, 11, 59, 101, 2377, 18013, 0
56.004718, 1.001825, 41401, 5, 23.9, 11, 53, 96, 2472, 18013, 0
57.002268, 0.99755, 39349, 5, 23.8, 11, 57, 100, 2628, 10716, 0
58.001784, 0.999516, 50970, 0, 24.4, 11, 63, 107, 2445, 24103, 0
59.002338, 1.000554, 46739, 0, 24.7, 11, 60, 103, 2440, 24103, 0
60.002945, 1.000607, 47789, 5, 22.6, 11, 54, 99, 2452, 5924, 0
61.004816, 1.001871, 37969, 5, 25.7, 11, 62, 104, 2517, 11073, 0
62.003463, 0.998647, 49354, 0, 24.5, 11, 61, 106, 2497, 23325, 0
63.003071, 0.999608, 50570, 0, 22.2, 11, 52, 101, 2366, 23325, 0
64.003651, 1.00058, 49557, 0, 20.1, 10, 38, 90, 2374, 10747, 0
65.00171, 0.998059, 43333, 0, 20.1, 11, 37, 88, 2411, 9931, 0
66.003513, 1.001803, 50537, 0, 22.1, 10, 48, 94, 2531, 11949, 0
67.003401, 0.999888, 42798, 5, 24.1, 11, 59, 101, 2529, 11062, 0
68.004171, 1.00077, 43330, 0, 22.9, 11, 56, 99, 2506, 24490, 0
69.001871, 0.9977, 27448, 5, 28.2, 11, 73, 115, 2910, 24490, 0
70.004593, 1.002722, 41719, 0, 33.8, 11, 69, 114, 2994, 401681, 0
71.001467, 0.996874, 54632, 5, 28.4, 11, 58, 103, 2431, 369511, 0
72.001489, 1.000022, 40159, 0, 35.6, 11, 64, 105, 2467, 370576, 0
73.001765, 1.000276, 42672, 0, 32.5, 12, 66, 104, 2710, 370576, 0
74.003119, 1.001354, 32354, 0, 26.4, 12, 67, 108, 2712, 7742, 0
75.003006, 0.999887, 37029, 0, 36.3, 12, 75, 123, 3014, 403456, 0
76.004548, 1.001542, 40795, 0, 36.8, 12, 74, 118, 2917, 412154, 0
77.002978, 0.99843, 54084, 5, 27.2, 11, 51, 96, 2616, 356304, 0
78.002905, 0.999927, 48464, 5, 19.8, 10, 45, 91, 2390, 9205, 0
79.004307, 1.001402, 43796, 3, 32.5, 11, 49, 91, 2395, 469849, 0
80.00276, 0.998453, 33078, 3, 29.6, 11, 58, 98, 2657, 401184, 0
81.001914, 0.999154, 55008, 0, 22.2, 10, 56, 101, 2491, 3729, 0
82.003021, 1.001107, 51710, 5, 20.4, 10, 41, 90, 2355, 7450, 0
83.003939, 1.000918, 54804, 0, 31.4, 11, 41, 92, 2360, 813878, 0
84.002016, 0.998077, 39656, 5, 23.1, 11, 53, 97, 2443, 8896, 0
85.002029, 1.000013, 33251, 0, 25.2, 11, 66, 104, 2560, 9547, 0
86.002731, 1.000702, 33469, 5, 36.2, 13, 90, 132, 3083, 23355, 0
87.002806, 1.000075, 32959, 6, 35.2, 12, 92, 143, 2856, 23355, 0
88.003511, 1.000705, 48355, 5, 22.6, 10, 59, 102, 2622, 4308, 0
89.002319, 0.998808, 39099, 5, 26.5, 10, 69, 106, 2881, 9063, 0
90.002887, 1.000568, 32913, 5, 30.2, 11, 76, 116, 3303, 9756, 0
91.004351, 1.001464, 47220, 6, 25.8, 11, 69, 109, 2858, 10436, 0
92.002499, 0.998148, 55453, 0, 20.1, 11, 42, 92, 2459, 11053, 0
93.001409, 0.99891, 47461, 0, 20.4, 11, 43, 93, 2441, 11053, 0
94.00113, 0.999721, 48093, 0, 20.2, 11, 40, 91, 2416, 8687, 0
95.002979, 1.001849, 49181, 0, 20.1, 11, 39, 89, 2414, 21319, 0
96.005539, 1.00256, 31627, 5, 24.5, 11, 67, 107, 2484, 21319, 0
97.001937, 0.996398, 53897, 5, 24.0, 10, 42, 92, 2526, 323293, 0
98.002458, 1.000521, 48577, 5, 25.7, 11, 43, 94, 2470, 323293, 0
99.001331, 0.998873, 41399, 5, 24.4, 11, 59, 100, 2436, 23380, 0
100.003496, 1.002165, 45884, 5, 27.9, 11, 70, 112, 2664, 23380, 0
101.002457, 0.998961, 49059, 5, 26.8, 11, 69, 114, 2432, 22684, 0
102.002633, 1.000176, 42105, 5, 27.0, 11, 70, 116, 2513, 22684, 0
103.003213, 1.00058, 33985, 5, 25.3, 11, 66, 116, 2506, 22904, 0
104.00144, 0.998227, 56667, 5, 21.2, 10, 49, 109, 2435, 22904, 0
105.001293, 0.999853, 53163, 5, 26.2, 10, 43, 96, 2403, 387407, 0
106.003636, 1.002343, 34165, 5, 35.1, 10, 49, 93, 2511, 552587, 0
107.003449, 0.999813, 50234, 5, 29.7, 10, 51, 97, 2634, 552587, 0
108.003793, 1.000344, 42062, 5, 24.4, 11, 60, 103, 2574, 10561, 0
109.000874, 0.997081, 53410, 0, 23.8, 10, 63, 112, 2474, 24108, 0
110.003218, 1.002344, 48182, 5, 22.7, 11, 57, 109, 2320, 24108, 0
111.001175, 0.997957, 47096, 5, 18.7, 10, 39, 86, 2338, 18518, 0
112.001442, 1.000267, 49182, 5, 19.2, 10, 41, 89, 2341, 18518, 0
113.001042, 0.9996, 47539, 5, 19.4, 11, 39, 88, 2317, 25375, 0
114.002346, 1.001304, 50041, 0, 20.8, 11, 45, 91, 2386, 25375, 0
115.002815, 1.000469, 37871, 0, 22.1, 11, 53, 98, 2495, 19449, 0
116.002414, 0.999599, 47700, 1, 24.4, 11, 61, 102, 2491, 19449, 0
117.002411, 0.999997, 42516, 1, 22.0, 11, 56, 100, 2475, 10142, 0
118.003582, 1.001171, 49913, 0, 28.2, 10, 52, 99, 2458, 456798, 0
119.003031, 0.999449, 42220, 0, 21.1, 10, 53, 95, 2419, 6747, 0
120.004532, 1.001501, 49659, 5, 25.3, 10, 51, 93, 2433, 315772, 0
121.002088, 0.997556, 49022, 5, 31.4, 10, 43, 90, 2355, 525148, 0
122.00503, 1.002942, 48866, 0, 20.5, 11, 47, 95, 2371, 8019, 0
123.003156, 0.998126, 43547, 0, 22.0, 11, 51, 101, 2430, 11540, 0
124.003518, 1.000362, 49464, 0, 28.7, 11, 52, 112, 2394, 489361, 0
125.003958, 1.00044, 41108, 5, 22.2, 11, 54, 106, 2392, 8977, 0
126.003487, 0.999529, 47138, 0, 28.0, 10, 57, 100, 2472, 353222, 0
127.002457, 0.99897, 49997, 5, 26.6, 11, 51, 98, 2364, 353222, 0
128.004777, 1.00232, 46426, 0, 21.6, 11, 50, 94, 2447, 7595, 0
129.004152, 0.999375, 37608, 5, 25.1, 11, 65, 107, 2469, 7542, 0
130.002804, 0.998652, 31209, 0, 30.4, 11, 80, 128, 3020, 8953, 0
131.003477, 1.000673, 37549, 5, 41.3, 12, 85, 132, 3399, 399687, 0
132.005301, 1.001824, 32545, 6, 39.0, 12, 89, 137, 3089, 300829, 0
133.002644, 0.997343, 46007, 6, 35.6, 12, 81, 123, 3071, 300829, 0
134.004279, 1.001635, 32890, 5, 37.2, 12, 81, 121, 2894, 337034, 0
135.001346, 0.997067, 36573, 0, 35.2, 12, 76, 120, 3019, 337034, 0
136.003306, 1.00196, 45803, 0, 27.4, 11, 72, 114, 2740, 17661, 0
137.002599, 0.999293, 35589, 0, 30.7, 11, 78, 129, 2873, 6853, 0
138.001916, 0.999317, 34808, 0, 26.8, 11, 68, 111, 3215, 20344, 0
139.004988, 1.003072, 44211, 0, 36.1, 12, 80, 123, 3046, 322294, 0
