elapsed, window, total, successful, failed
98.004995, 1.001954, 98377, 98377, 0
99.024781, 1.019786, 92672, 92672, 0
100.016699, 0.991918, 91361, 91361, 0
101.009052, 0.992353, 90419, 90419, 0
102.004167, 0.995115, 92029, 92029, 0
103.005272, 1.001105, 95609, 95609, 0
104.005034, 0.999762, 95226, 95226, 0
105.003824, 0.99879, 86722, 86722, 0
106.003509, 0.999685, 96661, 96661, 0
107.0055, 1.001991, 94349, 94349, 0
108.003536, 0.998036, 89807, 89807, 0
109.00563, 1.002094, 90154, 90154, 0
110.003111, 0.997481, 96174, 96174, 0
111.004512, 1.001401, 95156, 95156, 0
112.001959, 0.997447, 94820, 94820, 0
113.005207, 1.003248, 92947, 92947, 0
114.004254, 0.999047, 95587, 95587, 0
115.004895, 1.000641, 95401, 95401, 0
116.00422, 0.999325, 92344, 92344, 0
117.003626, 0.999406, 96595, 96595, 0
118.005563, 1.001937, 97168, 97168, 0
119.061031, 1.055468, 95729, 95729, 0
120.113649, 1.052618, 90398, 90398, 0
121.046007, 0.932358, 88799, 88799, 0
122.00492, 0.958913, 90908, 90908, 0
123.00503, 1.00011, 100583, 100583, 0
124.059392, 1.054362, 94682, 94682, 0
125.016892, 0.9575, 96925, 96925, 0
126.073561, 1.056669, 102601, 102601, 0
127.221488, 1.147927, 85667, 85667, 0
128.002989, 0.781501, 78891, 78891, 0
129.004186, 1.001197, 101934, 101934, 0
130.017137, 1.012951, 91784, 91784, 0
131.006401, 0.989264, 94487, 94487, 0
132.004071, 0.99767, 91480, 91480, 0
133.003637, 0.999566, 99137, 99137, 0
134.031932, 1.028295, 91313, 91313, 0
135.024924, 0.992992, 90299, 90299, 0
136.053156, 1.028232, 87330, 87330, 0
137.004134, 0.950978, 94390, 94390, 0
138.004882, 1.000748, 101160, 101160, 0
139.078328, 1.073446, 95786, 95786, 0
140.079026, 1.000698, 93936, 93936, 0
141.088091, 1.009065, 95231, 95231, 0
142.097882, 1.009791, 96241, 96241, 0
143.117723, 1.019841, 93778, 93778, 0
144.102054, 0.984331, 100784, 100784, 0
145.210633, 1.108579, 87761, 87761, 0
146.00538, 0.794747, 83092, 83092, 0
147.005269, 0.999889, 95775, 95775, 0
148.003485, 0.998216, 95815, 95815, 0
149.016188, 1.012703, 92870, 92870, 0
150.005677, 0.989489, 91074, 91074, 0
151.004937, 0.99926, 94386, 94386, 0
152.007695, 1.002758, 89293, 89293, 0
153.00175, 0.994055, 94441, 94441, 0
154.004286, 1.002536, 96162, 96162, 0
155.002971, 0.998685, 98889, 98889, 0
156.052691, 1.04972, 97873, 97873, 0
157.113234, 1.060543, 95601, 95601, 0
158.096776, 0.983542, 96322, 96322, 0
159.121044, 1.024268, 98330, 98330, 0
160.235259, 1.114215, 86887, 86887, 0
161.006394, 0.771135, 75162, 75162, 0
162.003876, 0.997482, 96694, 96694, 0
163.002682, 0.998806, 94527, 94527, 0
164.004101, 1.001419, 95782, 95782, 0
165.003972, 0.999871, 92487, 92487, 0
166.003077, 0.999105, 100350, 100350, 0
167.003864, 1.000787, 86747, 86747, 0
168.005642, 1.001778, 97206, 97206, 0
169.00435, 0.998708, 89239, 89239, 0
170.005513, 1.001163, 99949, 99949, 0
171.005329, 0.999816, 92186, 92186, 0
172.008081, 1.002752, 86991, 86991, 0
173.004221, 0.99614, 95986, 95986, 0
174.001942, 0.997721, 93679, 93679, 0
175.006524, 1.004582, 92036, 92036, 0
176.003586, 0.997062, 97543, 97543, 0
177.00474, 1.001154, 96010, 96010, 0
178.004284, 0.999544, 92137, 92137, 0
179.003807, 0.999523, 97029, 97029, 0
180.003928, 1.000121, 82208, 82208, 0
181.005627, 1.001699, 95473, 95473, 0
181.881668, 0.876041, 24469, 24469, 0
