elapsed, window, n, min, mean, median, 95th, 99th, 99_9th, max, errors
100.00344, 0.997658, 52487, 0, 22.2, 10, 57, 91, 2449, 21911, 0
101.00427, 1.00083, 30473, 0, 40.3, 11, 65, 99, 2827, 482107, 0
102.006173, 1.001903, 32105, 0, 35.9, 11, 71, 107, 3380, 334061, 0
103.006399, 1.000226, 51323, 0, 25.8, 10, 68, 107, 2745, 6444, 0
104.005706, 0.999307, 47218, 1, 20.4, 9, 50, 96, 2462, 9447, 0
105.003687, 0.997981, 51017, 1, 18.5, 7, 45, 90, 2425, 4605, 0
106.003268, 0.999581, 47216, 2, 21.9, 10, 57, 90, 2424, 7923, 0
107.00427, 1.001002, 30718, 5, 32.4, 11, 76, 113, 2924, 11858, 0
108.005573, 1.001303, 41268, 2, 29.4, 12, 74, 114, 2893, 24556, 0
109.007171, 1.001598, 48120, 5, 25.4, 12, 61, 104, 2747, 24556, 0
110.004477, 0.997306, 43221, 0, 20.1, 10, 46, 86, 2468, 9839, 0
111.001483, 0.997006, 54259, 5, 19.5, 10, 45, 89, 2362, 8309, 0
112.004761, 1.003278, 48469, 0, 17.7, 10, 34, 78, 2398, 8304, 0
113.002361, 0.9976, 49064, 5, 17.7, 10, 37, 78, 2360, 2847, 0
114.005381, 1.00302, 52701, 0, 24.5, 10, 38, 78, 2394, 423655, 0
115.00425, 0.998869, 43189, 5, 18.4, 10, 37, 78, 2365, 6128, 0
116.00295, 0.9987, 53073, 5, 18.3, 9, 40, 83, 2420, 8066, 0
117.005534, 1.002584, 46105, 0, 18.2, 10, 41, 81, 2330, 3000, 0
118.005092, 0.999558, 46855, 0, 20.1, 10, 44, 89, 2452, 11909, 0
119.00366, 0.998568, 48839, 0, 18.7, 9, 41, 84, 2429, 22229, 0
120.001536, 0.997876, 33042, 0, 23.4, 10, 55, 91, 2707, 22229, 0
121.004268, 1.002732, 40102, 0, 25.7, 10, 67, 101, 3033, 10719, 0
122.003853, 0.999585, 29960, 5, 31.6, 12, 80, 119, 3457, 10038, 0
123.004001, 1.000148, 33877, 0, 37.8, 12, 84, 129, 3152, 285962, 0
124.005461, 1.00146, 42119, 6, 42.3, 12, 73, 110, 3233, 378808, 0
125.003355, 0.997894, 35276, 5, 38.7, 12, 76, 109, 3203, 293722, 0
126.002265, 0.99891, 46682, 5, 29.3, 10, 62, 101, 2798, 293722, 0
127.0049, 1.002635, 35272, 5, 24.3, 11, 57, 95, 2843, 18941, 0
128.003565, 0.998665, 43395, 5, 18.6, 10, 44, 87, 2566, 5642, 0
129.003134, 0.999569, 48881, 5, 24.9, 9, 45, 87, 2493, 334194, 0
130.003655, 1.000521, 49682, 5, 21.9, 9, 53, 98, 2618, 20076, 0
131.004332, 1.000677, 41077, 5, 30.8, 10, 60, 91, 2560, 429096, 0
132.00492, 1.000588, 33798, 5, 24.0, 10, 64, 100, 2741, 6553, 0
133.002459, 0.997539, 43279, 5, 20.9, 7, 53, 95, 2744, 3621, 0
134.00364, 1.001181, 53115, 5, 17.0, 7, 40, 80, 2491, 3391, 0
135.004153, 1.000513, 48251, 5, 20.9, 10, 54, 90, 2397, 9600, 0
136.002458, 0.998305, 51680, 0, 25.6, 10, 48, 84, 2385, 371988, 0
137.004393, 1.001935, 41805, 5, 27.6, 10, 57, 89, 2441, 371988, 0
138.002708, 0.998315, 37291, 5, 23.9, 10, 65, 102, 2532, 27694, 0
139.00388, 1.001172, 47296, 5, 19.2, 9, 46, 85, 2606, 7197, 0
140.002119, 0.998239, 40614, 0, 19.0, 9, 41, 98, 2496, 8621, 0
141.003554, 1.001435, 58640, 5, 18.0, 7, 42, 87, 2401, 24005, 0
142.003415, 0.999861, 48710, 0, 25.2, 10, 39, 81, 2291, 440120, 0
143.005018, 1.001603, 50675, 0, 17.8, 10, 35, 78, 2339, 27656, 0
144.003945, 0.998927, 44319, 0, 23.7, 10, 52, 90, 2406, 27656, 0
145.004564, 1.000619, 34140, 5, 30.9, 11, 75, 106, 2909, 27010, 0
146.006902, 1.002338, 28361, 6, 45.3, 13, 89, 126, 3315, 309029, 0
147.001739, 0.994837, 38852, 6, 39.1, 12, 80, 115, 3304, 309029, 0
148.00511, 1.003371, 31920, 6, 38.6, 13, 87, 124, 3313, 8818, 0
149.00634, 1.00123, 35017, 0, 31.9, 11, 77, 110, 3338, 18485, 0
150.003618, 0.997278, 44334, 5, 29.6, 11, 75, 109, 2912, 18485, 0
151.004214, 1.000596, 43686, 0, 28.9, 10, 61, 96, 2704, 301693, 0
152.003561, 0.999347, 44356, 5, 24.3, 7, 51, 90, 2446, 301693, 0
153.002397, 0.998836, 59378, 3, 23.0, 10, 60, 92, 2407, 7413, 0
154.003231, 1.000834, 39660, 5, 23.3, 10, 57, 87, 2367, 21378, 0
155.00488, 1.001649, 35741, 5, 28.5, 10, 72, 105, 2753, 21378, 0
156.003307, 0.998427, 31687, 5, 34.3, 12, 84, 125, 3263, 9896, 0
157.007115, 1.003808, 33457, 2, 32.3, 12, 82, 118, 3316, 9190, 0
158.021036, 1.013921, 52019, 0, 25.9, 11, 67, 113, 2848, 9917, 0
159.004726, 0.98369, 47236, 0, 21.7, 11, 45, 102, 2455, 9917, 0
160.005256, 1.00053, 45900, 1, 29.9, 10, 63, 120, 2475, 419370, 0
161.003737, 0.998481, 28029, 1, 31.2, 11, 79, 137, 2947, 14296, 0
162.004777, 1.00104, 36387, 5, 43.0, 11, 76, 111, 3095, 670784, 0
163.007604, 1.002827, 33648, 5, 33.9, 11, 84, 161, 3408, 24385, 0
164.005511, 0.997907, 40080, 0, 30.5, 11, 78, 153, 3251, 24385, 0
165.003017, 0.997506, 38815, 5, 34.3, 12, 83, 118, 3078, 8458, 0
166.005331, 1.002314, 46814, 0, 26.1, 11, 72, 105, 2646, 10460, 0
167.004018, 0.998687, 34598, 5, 28.6, 11, 73, 105, 2959, 9749, 0
168.003887, 0.999869, 39414, 5, 33.1, 12, 82, 121, 3202, 24284, 0
169.003156, 0.999269, 37794, 6, 33.0, 12, 80, 118, 2939, 24284, 0
170.0069, 1.003744, 28983, 6, 31.1, 11, 80, 112, 3159, 21197, 0
171.005071, 0.998171, 40341, 0, 31.0, 11, 81, 117, 3133, 5188, 0
172.005821, 1.00075, 40400, 0, 28.2, 11, 75, 108, 2924, 9270, 0
173.00474, 0.998919, 41453, 0, 29.2, 11, 73, 103, 2946, 8899, 0
174.005346, 1.000606, 35453, 0, 33.4, 12, 84, 123, 2999, 18820, 0
175.004862, 0.999516, 35250, 6, 49.2, 12, 90, 132, 3286, 359872, 0
176.002911, 0.998049, 43743, 5, 35.4, 11, 76, 111, 3323, 308640, 0
177.003622, 1.000711, 45623, 0, 23.6, 11, 64, 103, 2561, 7939, 0
178.00447, 1.000848, 45003, 5, 24.2, 10, 66, 107, 2533, 6204, 0
179.003738, 0.999268, 40497, 5, 37.5, 11, 77, 111, 2725, 435141, 0
180.004825, 1.001087, 33691, 5, 28.7, 11, 69, 102, 2976, 18512, 0
181.006886, 1.002061, 43702, 5, 28.4, 11, 72, 104, 2751, 18512, 0
181.699921, 0.693035, 696, 5, 24.8, 11, 61, 97, 2607, 3954, 0
