elapsed, window, total, successful, failed
74.004238, 1.001419, 74639, 74639, 0
75.002942, 0.998704, 82094, 82094, 0
76.005262, 1.00232, 55780, 55780, 0
77.00361, 0.998348, 84495, 84495, 0
78.003602, 0.999992, 78714, 78714, 0
79.002808, 0.999206, 87986, 87986, 0
80.003693, 1.000885, 86985, 86985, 0
81.005764, 1.002071, 73830, 73830, 0
82.005609, 0.999845, 66825, 66825, 0
83.004419, 0.99881, 81955, 81955, 0
84.003444, 0.999025, 105760, 105760, 0
85.001375, 0.997931, 96328, 96328, 0
86.00433, 1.002955, 100524, 100524, 0
87.004913, 1.000583, 90124, 90124, 0
88.005257, 1.000344, 50070, 50070, 0
89.003711, 0.998454, 91801, 91801, 0
90.004597, 1.000886, 87789, 87789, 0
91.002105, 0.997508, 93937, 93937, 0
92.002497, 1.000392, 66419, 66419, 0
93.008418, 1.005921, 66376, 66376, 0
94.004781, 0.996363, 104293, 104293, 0
95.008821, 1.00404, 80851, 80851, 0
96.004834, 0.996013, 73895, 73895, 0
97.003373, 0.998539, 70467, 70467, 0
98.001127, 0.997754, 70259, 70259, 0
99.005782, 1.004655, 96427, 96427, 0
100.00344, 0.997658, 103609, 103609, 0
101.00427, 1.00083, 66220, 66220, 0
102.006173, 1.001903, 66634, 66634, 0
103.006399, 1.000226, 98639, 98639, 0
104.005706, 0.999307, 94316, 94316, 0
105.003687, 0.997981, 99603, 99603, 0
106.003268, 0.999581, 94592, 94592, 0
107.00427, 1.001002, 66487, 66487, 0
108.005573, 1.001303, 81184, 81184, 0
109.007171, 1.001598, 93254, 93254, 0
110.004477, 0.997306, 87522, 87522, 0
111.001483, 0.997006, 106172, 106172, 0
112.004761, 1.003278, 95674, 95674, 0
113.002361, 0.9976, 98019, 98019, 0
114.005381, 1.00302, 100680, 100680, 0
115.00425, 0.998869, 93863, 93863, 0
116.00295, 0.9987, 103915, 103915, 0
117.005534, 1.002584, 93736, 93736, 0
118.005092, 0.999558, 93632, 93632, 0
119.00366, 0.998568, 96168, 96168, 0
120.001536, 0.997876, 71769, 71769, 0
121.004268, 1.002732, 81153, 81153, 0
122.003853, 0.999585, 61111, 61111, 0
123.004001, 1.000148, 68211, 68211, 0
124.005461, 1.00146, 80718, 80718, 0
125.003355, 0.997894, 72113, 72113, 0
126.002265, 0.99891, 92082, 92082, 0
127.0049, 1.002635, 73032, 73032, 0
128.003565, 0.998665, 85335, 85335, 0
129.003134, 0.999569, 96709, 96709, 0
130.003655, 1.000521, 95302, 95302, 0
131.004332, 1.000677, 85131, 85131, 0
132.00492, 1.000588, 69961, 69961, 0
133.002459, 0.997539, 85724, 85724, 0
134.00364, 1.001181, 103297, 103297, 0
135.004153, 1.000513, 90261, 90261, 0
136.002458, 0.998305, 104445, 104445, 0
137.004393, 1.001935, 86099, 86099, 0
138.002708, 0.998315, 77458, 77458, 0
139.00388, 1.001172, 94397, 94397, 0
140.002119, 0.998239, 82716, 82716, 0
141.003554, 1.001435, 111112, 111112, 0
142.003415, 0.999861, 98277, 98277, 0
143.005018, 1.001603, 98848, 98848, 0
144.003945, 0.998927, 94463, 94463, 0
145.004564, 1.000619, 69508, 69508, 0
146.006902, 1.002338, 62633, 62633, 0
147.001739, 0.994837, 75282, 75282, 0
148.00511, 1.003371, 65295, 65295, 0
149.00634, 1.00123, 69595, 69595, 0
150.003618, 0.997278, 86325, 86325, 0
151.004214, 1.000596, 86555, 86555, 0
152.003561, 0.999347, 89208, 89208, 0
153.002397, 0.998836, 112832, 112832, 0
154.003231, 1.000834, 81094, 81094, 0
155.00488, 1.001649, 76768, 76768, 0
156.003307, 0.998427, 64779, 64779, 0
157.007115, 1.003808, 67236, 67236, 0
158.021036, 1.013921, 97138, 97138, 0
159.004726, 0.98369, 94378, 94378, 0
160.005256, 1.00053, 91138, 91138, 0
161.003737, 0.998481, 61439, 61439, 0
162.004777, 1.00104, 74113, 74113, 0
163.007604, 1.002827, 68432, 68432, 0
164.005511, 0.997907, 77494, 77494, 0
165.003017, 0.997506, 75319, 75319, 0
166.005331, 1.002314, 94123, 94123, 0
167.004018, 0.998687, 71409, 71409, 0
168.003887, 0.999869, 75843, 75843, 0
169.003156, 0.999269, 78616, 78616, 0
170.0069, 1.003744, 60430, 60430, 0
171.005071, 0.998171, 79739, 79739, 0
172.005821, 1.00075, 79233, 79233, 0
173.00474, 0.998919, 82790, 82790, 0
174.005346, 1.000606, 71732, 71732, 0
175.004862, 0.999516, 70661, 70661, 0
176.002911, 0.998049, 83891, 83891, 0
177.003622, 1.000711, 91559, 91559, 0
178.00447, 1.000848, 88784, 88784, 0
179.003738, 0.999268, 78076, 78076, 0
180.004825, 1.001087, 71657, 71657, 0
181.006886, 1.002061, 85176, 85176, 0
181.699921, 0.693035, 19466, 19466, 0
