elapsed, window, total, successful, failed
89.754146, 1.104364, 316695, 316695, 0
91.137323, 1.383177, 312728, 312728, 0
92.568894, 1.431571, 279729, 279729, 0
93.797309, 1.228415, 300036, 300036, 0
94.957646, 1.160337, 350682, 350682, 0
96.526923, 1.569277, 333452, 333452, 0
97.99731, 1.470387, 386875, 386875, 0
99.512858, 1.515548, 331776, 331776, 0
100.985805, 1.472947, 340220, 340220, 0
102.299317, 1.313512, 281348, 281348, 0
103.556623, 1.257306, 297137, 297137, 0
104.870644, 1.314021, 334027, 334027, 0
106.204824, 1.33418, 353171, 353171, 0
107.811743, 1.606919, 399828, 399828, 0
109.388766, 1.577023, 311185, 311185, 0
110.700221, 1.311455, 349916, 349916, 0
111.925082, 1.224861, 339911, 339911, 0
113.477938, 1.552856, 322805, 322805, 0
114.878071, 1.400133, 347429, 347429, 0
116.315088, 1.437017, 277097, 277097, 0
117.472307, 1.157219, 314828, 314828, 0
118.889364, 1.417057, 335508, 335508, 0
120.160906, 1.271542, 385569, 385569, 0
121.897704, 1.736798, 333726, 333726, 0
123.112749, 1.215045, 352264, 352264, 0
124.590386, 1.477637, 385757, 385757, 0
126.454922, 1.864536, 397850, 397850, 0
127.942225, 1.487303, 329271, 329271, 0
129.158481, 1.216256, 390121, 390121, 0
130.848429, 1.689948, 299254, 299254, 0
132.038953, 1.190524, 336961, 336961, 0
133.498644, 1.459691, 358748, 358748, 0
135.040112, 1.541468, 384512, 384512, 0
136.53411, 1.493998, 309590, 309590, 0
138.101063, 1.566953, 268823, 268823, 0
139.240685, 1.139622, 275461, 275461, 0
140.53218, 1.291495, 294327, 294327, 0
141.818836, 1.286656, 340810, 340810, 0
143.104297, 1.285461, 358616, 358616, 0
144.840175, 1.735878, 393971, 393971, 0
146.334548, 1.494373, 308693, 308693, 0
147.675809, 1.341261, 303383, 303383, 0
148.853817, 1.178008, 302797, 302797, 0
150.114248, 1.260431, 352044, 352044, 0
151.687528, 1.57328, 321602, 321602, 0
153.101341, 1.413813, 319079, 319079, 0
154.440895, 1.339554, 306631, 306631, 0
155.805237, 1.364342, 325824, 325824, 0
157.116078, 1.310841, 366813, 366813, 0
158.669823, 1.553745, 303350, 303350, 0
159.863391, 1.193568, 300851, 300851, 0
161.087487, 1.224096, 420359, 420359, 0
162.923786, 1.836299, 390524, 390524, 0
164.380135, 1.456349, 296481, 296481, 0
165.649281, 1.269146, 297101, 297101, 0
166.818848, 1.169567, 311745, 311745, 0
168.090325, 1.271477, 423625, 423625, 0
169.935317, 1.844992, 405100, 405100, 0
171.481808, 1.546491, 318583, 318583, 0
173.003902, 1.522094, 366459, 366459, 0
174.352189, 1.348287, 287158, 287158, 0
175.6033, 1.251111, 286900, 286900, 0
176.833791, 1.230491, 376125, 376125, 0
178.367746, 1.533955, 322309, 322309, 0
179.792636, 1.42489, 348084, 348084, 0
181.138413, 1.345777, 181345, 181345, 0
182.235095, 1.096682, 0, 0, 0
